Day,Month,date,Year, Temperature (øF) Max,Temperature (øF) Min,Dew Point (øF) Max,Dew Point (øF) Min,Humidity Max,Humidity Min,Wind Speed Max, Wind Speed Min,Pressure Max,Pressure Min
25,6,25.06.2001,2001,93,86,79,73,79,52,20,0,30,0
26,6,26.06.2001,2001,91,86,77,73,74,55,22,0,30,0
27,6,27.06.2001,2001,93,84,77,73,79,56,23,0,29,0
28,6,28.06.2001,2001,91,84,77,72,79,52,23,0,29,0
29,6,29.06.2001,2001,90,82,79,75,89,62,18,0,29,0
30,6,30.06.2001,2001,91,84,79,75,84,59,15,0,30,0
1,7,01.07.2001,2001,93,0,79,0,84,0,15,5,30,0
2,7,02.07.2001,2001,93,82,79,75,84,56,16,0,30,0
3,7,03.07.2001,2001,91,0,77,0,79,0,17,0,29,0
4,7,04.07.2001,2001,93,0,79,0,84,0,14,0,29,0
5,7,05.07.2001,2001,95,84,81,77,89,59,15,0,29,0
6,7,06.07.2001,2001,93,84,81,75,84,56,93,5,29,0
7,7,07.07.2001,2001,93,84,79,77,84,59,18,0,29,0
8,7,08.07.2001,2001,93,86,79,75,79,56,15,3,29,0
9,7,09.07.2001,2001,95,0,77,0,79,0,17,2,29,0
10,7,10.07.2001,2001,95,82,84,72,89,59,17,0,29,0
11,7,11.07.2001,2001,91,68,81,75,84,0,13,0,29,0
12,7,12.07.2001,2001,86,81,82,77,100,79,12,0,29,0
13,7,13.07.2001,2001,88,0,81,0,94,0,16,0,30,0
14,7,14.07.2001,2001,90,0,82,0,84,0,17,6,30,0
15,7,15.07.2001,2001,88,0,77,0,84,0,25,0,30,0
16,7,16.07.2001,2001,86,81,79,75,94,74,22,0,29,0
17,7,17.07.2001,2001,84,81,84,77,89,0,17,0,29,0
18,7,18.07.2001,2001,88,75,77,75,100,66,14,0,30,0
19,7,19.07.2001,2001,88,0,75,0,79,0,22,0,30,0
20,7,20.07.2001,2001,86,0,75,0,79,0,17,0,29,0
21,7,21.07.2001,2001,86,68,77,73,84,0,16,0,29,0
22,7,22.07.2001,2001,88,0,79,0,94,0,47,0,29,0
23,7,23.07.2001,2001,90,0,81,0,94,0,10,0,30,0
24,7,24.07.2001,2001,91,84,79,75,84,62,101,0,29,0
25,7,25.07.2001,2001,90,0,79,0,94,0,12,0,30,29
26,7,26.07.2001,2001,90,37,77,73,79,0,16,7,30,0
27,7,27.07.2001,2001,90,82,75,72,79,55,16,0,30,0
28,7,28.07.2001,2001,88,0,75,0,79,0,16,0,30,0
29,7,29.07.2001,2001,86,81,77,73,89,66,86,0,30,0
30,7,30.07.2001,2001,88,81,77,72,89,62,16,0,30,30
31,7,31.07.2001,2001,91,0,75,0,79,0,98,0,30,0
1,8,01.08.2001,2001,91,82,75,73,79,59,15,0,30,0
2,8,02.08.2001,2001,95,81,79,73,79,59,20,0,30,0
3,8,03.08.2001,2001,88,81,75,72,79,58,102,0,30,0
4,8,04.08.2001,2001,93,81,86,70,79,0,12,0,30,30
5,8,05.08.2001,2001,97,0,75,0,79,0,16,5,30,29
6,8,06.08.2001,2001,100,82,79,73,79,50,16,0,30,0
7,8,07.08.2001,2001,91,82,77,73,79,55,20,7,30,0
8,8,08.08.2001,2001,84,81,79,75,89,74,17,0,30,0
9,8,09.08.2001,2001,91,0,79,0,89,0,16,0,30,30
10,8,10.08.2001,2001,91,82,77,75,79,59,14,0,30,0
11,8,11.08.2001,2001,90,0,81,0,100,0,25,0,30,0
12,8,12.08.2001,2001,90,0,82,0,94,0,12,0,30,0
13,8,13.08.2001,2001,91,81,79,73,94,59,14,0,30,0
14,8,14.08.2001,2001,86,82,79,73,84,74,15,0,30,29
15,8,15.08.2001,2001,90,82,79,68,84,58,15,0,30,0
16,8,16.08.2001,2001,90,82,77,59,84,45,18,0,30,0
17,8,17.08.2001,2001,90,0,91,0,79,0,17,0,30,0
18,8,18.08.2001,2001,88,0,82,0,89,0,18,0,30,0
19,8,19.08.2001,2001,90,0,77,0,89,0,16,0,30,29
20,8,20.08.2001,2001,90,82,75,72,79,58,18,6,30,0
21,8,21.08.2001,2001,90,0,75,0,84,0,21,0,30,0
22,8,22.08.2001,2001,97,0,79,0,79,0,16,0,30,0
23,8,23.08.2001,2001,90,82,75,70,79,55,13,7,30,0
24,8,24.08.2001,2001,90,0,73,0,74,0,58,5,30,30
25,8,25.08.2001,2001,91,68,75,70,79,0,16,7,30,0
26,8,26.08.2001,2001,90,0,75,0,79,0,23,0,30,0
27,8,27.08.2001,2001,90,0,75,0,74,0,28,12,30,0
28,8,28.08.2001,2001,88,0,73,0,79,0,21,0,30,0
29,8,29.08.2001,2001,86,0,73,0,79,0,58,0,30,29
30,8,30.08.2001,2001,84,81,73,72,79,66,22,0,30,0
31,8,31.08.2001,2001,84,0,75,0,79,0,16,0,30,0
1,9,01.09.2001,2001,91,0,75,0,83,0,46,0,30,0
2,9,02.09.2001,2001,90,0,75,0,89,0,16,0,30,30
3,9,03.09.2001,2001,86,0,91,0,79,0,20,0,30,0
4,9,04.09.2001,2001,86,81,75,73,84,66,16,0,30,0
5,9,05.09.2001,2001,86,0,75,0,84,0,16,6,30,0
6,9,06.09.2001,2001,86,0,77,0,84,0,78,0,30,0
7,9,07.09.2001,2001,90,0,77,0,84,0,46,0,30,0
8,9,08.09.2001,2001,91,81,75,72,84,52,9,0,30,30
9,9,09.09.2001,2001,91,73,75,70,100,52,14,0,30,0
10,9,10.09.2001,2001,88,77,75,70,89,55,17,0,30,30
11,9,11.09.2001,2001,88,81,73,72,79,62,14,7,30,30
12,9,12.09.2001,2001,90,73,75,70,100,58,16,5,30,0
13,9,13.09.2001,2001,90,81,75,70,79,52,13,0,30,0
14,9,14.09.2001,2001,90,81,75,70,84,52,575,6,30,0
15,9,15.09.2001,2001,91,81,77,72,79,55,14,0,30,0
16,9,16.09.2001,2001,93,0,75,0,79,0,14,5,30,0
17,9,17.09.2001,2001,91,0,180,0,79,0,16,0,30,0
18,9,18.09.2001,2001,91,81,75,68,79,49,16,0,30,30
19,9,19.09.2001,2001,90,79,73,70,78,52,16,0,30,30
20,9,20.09.2001,2001,90,81,75,72,79,55,20,8,30,0
21,9,21.09.2001,2001,91,81,75,72,84,52,13,0,30,0
22,9,22.09.2001,2001,95,0,77,0,84,0,58,0,30,0
23,9,23.09.2001,2001,95,81,75,66,79,39,14,0,30,0
24,9,24.09.2001,2001,97,82,75,70,79,41,8,3,30,0
25,9,25.09.2001,2001,95,72,77,68,100,44,10,0,30,30
26,9,26.09.2001,2001,97,77,77,70,89,44,12,0,30,0
27,9,27.09.2001,2001,100,79,77,57,84,24,12,0,30,0
28,9,28.09.2001,2001,99,81,75,55,79,24,17,0,30,0
29,9,29.09.2001,2001,93,0,75,0,84,0,87,0,30,0
30,9,30.09.2001,2001,99,79,77,72,89,42,14,0,30,0
1,10,01.10.2001,2001,104,0,75,0,83,0,69,0,30,0
2,10,02.10.2001,2001,95,0,77,0,84,0,81,0,30,0
3,10,03.10.2001,2001,95,0,75,0,89,0,13,0,30,0
4,10,04.10.2001,2001,95,79,84,70,94,47,14,0,30,0
5,10,05.10.2001,2001,95,0,79,0,89,0,69,0,30,0
6,10,06.10.2001,2001,95,0,77,0,89,0,58,0,30,0
7,10,07.10.2001,2001,102,0,77,0,89,0,12,0,30,0
8,10,08.10.2001,2001,104,0,75,0,66,0,12,0,30,0
9,10,09.10.2001,2001,108,0,90,0,70,0,12,0,30,0
10,10,10.10.2001,2001,100,79,79,63,84,31,14,0,30,0
11,10,11.10.2001,2001,97,0,79,0,94,0,14,0,30,0
12,10,12.10.2001,2001,97,0,77,0,89,0,10,0,30,0
13,10,13.10.2001,2001,99,0,79,0,84,0,12,0,30,0
14,10,14.10.2001,2001,97,0,79,0,84,0,15,0,30,0
15,10,15.10.2001,2001,93,81,75,34,84,12,15,0,30,0
16,10,16.10.2001,2001,97,0,81,0,94,0,12,0,30,30
17,10,17.10.2001,2001,99,79,73,54,83,22,9,0,30,0
18,10,18.10.2001,2001,97,0,73,0,94,0,12,0,30,30
19,10,19.10.2001,2001,91,77,72,68,83,46,12,3,30,30
20,10,20.10.2001,2001,91,75,72,66,89,46,12,3,30,0
21,10,21.10.2001,2001,90,0,73,0,94,0,12,0,30,0
22,10,22.10.2001,2001,93,0,73,0,94,0,16,0,30,0
23,10,23.10.2001,2001,97,0,73,0,88,0,7,0,30,30
24,10,24.10.2001,2001,99,75,72,45,83,16,14,0,30,0
25,10,25.10.2001,2001,97,0,75,0,89,0,14,0,30,0
26,10,26.10.2001,2001,91,0,75,0,89,0,14,0,30,0
27,10,27.10.2001,2001,91,81,77,73,84,55,16,0,30,0
28,10,28.10.2001,2001,93,0,75,0,89,0,12,0,30,0
29,10,29.10.2001,2001,93,0,73,0,89,0,9,0,30,0
30,10,30.10.2001,2001,93,0,75,0,94,0,12,0,30,0
31,10,31.10.2001,2001,93,72,75,66,100,41,9,0,30,0
1,11,01.11.2001,2001,91,0,75,0,89,0,12,0,30,0
2,11,02.11.2001,2001,90,0,75,0,94,0,12,0,30,30
3,11,03.11.2001,2001,95,73,73,0,89,9,18,0,30,0
4,11,04.11.2001,2001,95,0,68,0,78,0,8,0,30,0
5,11,05.11.2001,2001,93,66,57,43,60,17,9,0,30,0
6,11,06.11.2001,2001,93,0,59,0,64,0,12,0,30,30
7,11,07.11.2001,2001,91,0,48,0,49,0,21,0,30,0
8,11,08.11.2001,2001,91,0,61,0,65,0,18,0,30,0
9,11,09.11.2001,2001,97,64,64,34,69,13,806,0,30,30
10,11,10.11.2001,2001,91,64,72,55,83,31,12,0,30,30
11,11,11.11.2001,2001,91,0,70,0,94,0,7,0,30,0
12,11,12.11.2001,2001,93,66,63,36,83,13,17,0,30,0
13,11,13.11.2001,2001,93,0,61,0,61,0,15,0,31,0
14,11,14.11.2001,2001,93,0,66,0,78,0,10,0,30,0
15,11,15.11.2001,2001,91,0,70,0,83,0,9,0,30,0
16,11,16.11.2001,2001,93,66,68,36,88,13,7,0,30,0
17,11,17.11.2001,2001,93,0,66,0,83,0,16,0,30,30
18,11,18.11.2001,2001,93,68,45,0,43,12,14,0,30,0
19,11,19.11.2001,2001,95,70,64,39,58,16,9,0,30,0
20,11,20.11.2001,2001,95,0,66,0,61,0,12,0,30,0
21,11,21.11.2001,2001,93,70,70,50,83,27,9,0,30,0
22,11,22.11.2001,2001,91,0,70,0,83,0,7,0,30,0
23,11,23.11.2001,2001,90,0,68,0,88,0,12,0,30,0
24,11,24.11.2001,2001,86,61,64,46,83,33,9,0,30,0
25,11,25.11.2001,2001,86,64,63,50,83,29,12,0,30,0
26,11,26.11.2001,2001,90,63,59,46,73,25,8,0,30,0
27,11,27.11.2001,2001,90,0,54,0,68,0,9,0,30,0
28,11,28.11.2001,2001,88,63,64,41,78,19,9,0,30,0
29,11,29.11.2001,2001,86,61,61,43,78,25,8,0,30,0
30,11,30.11.2001,2001,88,0,64,0,73,0,9,0,30,0
1,12,01.12.2001,2001,86,61,59,36,68,17,9,0,30,0
2,12,02.12.2001,2001,88,61,61,45,73,28,9,0,30,0
3,12,03.12.2001,2001,86,0,70,0,83,0,12,0,30,0
4,12,04.12.2001,2001,90,0,68,0,88,0,10,0,30,0
5,12,05.12.2001,2001,86,66,68,55,88,45,7,0,31,0
6,12,06.12.2001,2001,86,0,70,0,88,0,9,0,30,0
7,12,07.12.2001,2001,86,64,70,52,88,43,10,0,30,0
8,12,08.12.2001,2001,88,66,72,48,94,38,7,0,30,30
9,12,09.12.2001,2001,88,64,72,63,94,43,10,0,30,30
10,12,10.12.2001,2001,93,68,72,41,94,16,9,0,30,0
11,12,11.12.2001,2001,90,63,64,34,83,14,9,0,30,0
12,12,12.12.2001,2001,86,63,54,0,64,14,17,0,30,0
13,12,13.12.2001,2001,88,63,59,39,68,25,8,0,30,30
14,12,14.12.2001,2001,86,63,70,52,83,40,87,0,30,30
15,12,15.12.2001,2001,84,0,68,0,83,0,12,0,30,0
16,12,16.12.2001,2001,82,0,52,0,56,0,17,0,30,0
17,12,17.12.2001,2001,84,0,59,0,68,0,8,0,30,30
18,12,18.12.2001,2001,86,64,61,50,83,34,10,0,30,0
19,12,19.12.2001,2001,86,61,54,27,68,14,14,0,30,0
20,12,20.12.2001,2001,81,0,57,0,57,0,21,0,30,0
21,12,21.12.2001,2001,135,0,52,0,77,0,14,0,30,0
22,12,22.12.2001,2001,84,0,52,0,59,0,9,0,30,0
23,12,23.12.2001,2001,82,0,63,0,73,0,8,0,30,0
24,12,24.12.2001,2001,84,0,59,0,88,0,13,0,30,0
25,12,25.12.2001,2001,84,0,54,0,64,0,8,0,30,0
26,12,26.12.2001,2001,86,0,66,0,64,0,9,0,32,0
28,12,28.12.2001,2001,86,0,59,0,68,0,10,0,30,0
29,12,29.12.2001,2001,84,0,64,0,78,0,62,0,30,0
30,12,30.12.2001,2001,82,0,70,0,88,0,7,0,57,0
31,12,31.12.2001,2001,84,0,68,0,100,0,10,0,30,0
1,1,01.01.2002,2002,84,0,64,0,94,0,9,0,30,0
2,1,02.01.2002,2002,100,0,172,0,88,0,15,0,57,0
3,1,03.01.2002,2002,84,0,59,0,94,0,16,0,31,0
4,1,04.01.2002,2002,86,0,46,0,59,0,13,0,30,0
5,1,05.01.2002,2002,82,0,48,0,59,0,21,0,30,0
6,1,06.01.2002,2002,81,0,54,0,72,0,9,0,30,0
7,1,07.01.2002,2002,82,0,52,0,68,0,56,0,30,0
8,1,08.01.2002,2002,79,0,91,0,52,0,20,0,30,0
9,1,09.01.2002,2002,81,0,43,0,48,0,16,0,30,0
10,1,10.01.2002,2002,84,55,79,36,63,0,9,0,31,0
11,1,11.01.2002,2002,84,0,55,0,63,0,9,0,30,0
12,1,12.01.2002,2002,84,55,64,37,78,20,14,0,30,0
13,1,13.01.2002,2002,86,0,72,0,89,0,21,0,30,0
14,1,14.01.2002,2002,86,0,70,0,83,0,14,0,30,0
15,1,15.01.2002,2002,77,0,61,0,65,0,21,0,30,0
16,1,16.01.2002,2002,77,0,46,0,55,0,12,0,30,0
17,1,17.01.2002,2002,84,0,45,0,63,0,18,0,31,0
18,1,18.01.2002,2002,73,0,48,0,56,0,10,0,30,0
19,1,19.01.2002,2002,75,0,48,0,67,0,9,0,30,30
20,1,20.01.2002,2002,77,0,50,0,71,0,8,0,30,0
21,1,21.01.2002,2002,77,50,45,0,67,18,7,0,30,30
22,1,22.01.2002,2002,77,48,55,28,73,26,13,0,30,30
23,1,23.01.2002,2002,79,55,57,45,77,30,14,0,30,0
24,1,24.01.2002,2002,81,68,64,39,78,35,17,0,30,0
25,1,25.01.2002,2002,84,70,64,34,78,16,17,0,30,0
26,1,26.01.2002,2002,77,0,37,0,47,0,17,0,30,0
27,1,27.01.2002,2002,75,0,36,0,37,0,25,0,30,30
28,1,28.01.2002,2002,82,52,48,0,59,18,10,0,30,0
29,1,29.01.2002,2002,77,0,45,0,62,0,83,0,30,0
30,1,30.01.2002,2002,86,0,46,0,55,0,13,0,30,0
31,1,31.01.2002,2002,81,0,50,0,71,0,9,0,32,0
1,2,01.02.2002,2002,81,0,59,0,68,0,17,0,30,30
2,2,02.02.2002,2002,84,61,61,0,83,13,14,0,32,30
3,2,03.02.2002,2002,81,0,39,0,45,0,15,0,30,30
4,2,04.02.2002,2002,82,54,52,14,64,9,12,0,30,30
5,2,05.02.2002,2002,178,54,54,39,63,3,12,0,30,30
6,2,06.02.2002,2002,82,0,54,0,56,0,15,0,30,30
7,2,07.02.2002,2002,72,0,39,0,45,0,17,0,30,0
8,2,08.02.2002,2002,77,0,39,-33,48,0,104,0,30,30
9,2,09.02.2002,2002,75,0,23,0,33,0,150,0,30,0
10,2,10.02.2002,2002,73,54,48,14,41,11,30,0,30,0
11,2,11.02.2002,2002,77,0,55,0,68,0,14,0,30,0
